,County|Prec,Type,Context
1998,MITCHELL|06,PERFECT_MATCH,MITCHELL|06
1999,MITCHELL|03,PERFECT_MATCH,MITCHELL|03
2000,MITCHELL|01,PERFECT_MATCH,MITCHELL|01
2001,MITCHELL|08,PERFECT_MATCH,MITCHELL|08
2002,MITCHELL|05,PERFECT_MATCH,MITCHELL|05
2003,MITCHELL|02,PERFECT_MATCH,MITCHELL|02
2004,NORTHAMPTON|MILWAU,PERFECT_MATCH,NORTHAMPTON|MILWAU
2005,NORTHAMPTON|PLEASA,PERFECT_MATCH,NORTHAMPTON|PLEASA
2006,NORTHAMPTON|PROVISIONAL,COUNTY_LEVEL,PROVISIONAL
2007,NORTHAMPTON|JACKSO,PERFECT_MATCH,NORTHAMPTON|JACKSO
2008,NORTHAMPTON|GALATI,PERFECT_MATCH,NORTHAMPTON|GALATI
2009,NORTHAMPTON|POTECA,PERFECT_MATCH,NORTHAMPTON|POTECA
2010,NORTHAMPTON|LAKE.G,PERFECT_MATCH,NORTHAMPTON|LAKE.G
2011,NORTHAMPTON|CREEKS,PERFECT_MATCH,NORTHAMPTON|CREEKS
2012,NORTHAMPTON|OS.GASTON,COUNTY_LEVEL,OS.GASTON
2013,NORTHAMPTON|LASKER,PERFECT_MATCH,NORTHAMPTON|LASKER
2014,NORTHAMPTON|CONWAY,PERFECT_MATCH,NORTHAMPTON|CONWAY
2015,NORTHAMPTON|PENDLE,PERFECT_MATCH,NORTHAMPTON|PENDLE
2016,NORTHAMPTON|NEWTOW,PERFECT_MATCH,NORTHAMPTON|NEWTOW
2017,NORTHAMPTON|SEABOA,PERFECT_MATCH,NORTHAMPTON|SEABOA
2018,NORTHAMPTON|REHOBE,PERFECT_MATCH,NORTHAMPTON|REHOBE
2019,NORTHAMPTON|GARYSB,PERFECT_MATCH,NORTHAMPTON|GARYSB
2020,NORTHAMPTON|ABSENTEE.BY.MAIL,COUNTY_LEVEL,ABSENTEE.BY.MAIL
2021,NORTHAMPTON|OS.RICH.SQUARE,COUNTY_LEVEL,OS.RICH.SQUARE
